epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,512.281,1.06482,0.7107,1.1945,0.65898,0.55167,0.6065,0.34149,1.78397,1.47102,1.79777,0.007921,0.007921,0.007921
44,524.035,1.053,0.7072,1.18353,0.76734,0.60219,0.63599,0.36341,1.56562,1.1117,1.51751,0.0078715,0.0078715,0.0078715
45,535.843,1.01699,0.69021,1.16682,0.83939,0.65534,0.70385,0.41991,1.45247,0.91033,1.43078,0.007822,0.007822,0.007822
46,547.83,1.01488,0.67151,1.15872,0.67273,0.69284,0.6847,0.38786,1.61348,1.08191,1.53232,0.0077725,0.0077725,0.0077725
47,559.629,1.03707,0.6861,1.17112,0.66462,0.60576,0.66446,0.41317,1.44961,1.07311,1.48558,0.007723,0.007723,0.007723
48,571.42,1.01817,0.6654,1.1549,0.78284,0.60923,0.6511,0.40023,1.5125,1.01007,1.54077,0.0076735,0.0076735,0.0076735
49,583.256,1.04482,0.67989,1.16795,0.76099,0.64778,0.68769,0.42083,1.48264,0.94593,1.48521,0.007624,0.007624,0.007624
50,594.844,0.98933,0.66341,1.14314,0.78472,0.73009,0.73182,0.37988,1.81102,0.94685,1.52165,0.0075745,0.0075745,0.0075745
51,606.416,0.96402,0.64159,1.1267,0.85322,0.66802,0.72621,0.40522,1.6016,0.96714,1.49661,0.007525,0.007525,0.007525
52,618.006,0.94514,0.63153,1.11477,0.79827,0.67745,0.73406,0.42611,1.52667,0.94002,1.43653,0.0074755,0.0074755,0.0074755
53,630.032,0.94136,0.62332,1.11278,0.71397,0.6854,0.673,0.39246,1.46368,0.96355,1.41303,0.007426,0.007426,0.007426
54,641.935,0.99918,0.65098,1.14517,0.87226,0.63196,0.70904,0.41946,1.45243,0.94319,1.3911,0.0073765,0.0073765,0.0073765
55,653.658,0.96709,0.63737,1.1275,0.83094,0.68507,0.70829,0.40736,1.57867,0.98701,1.49283,0.007327,0.007327,0.007327
56,665.505,0.93682,0.61115,1.11237,0.86979,0.6475,0.71763,0.40416,1.54818,0.99091,1.47283,0.0072775,0.0072775,0.0072775
57,677.362,0.97986,0.63202,1.13262,0.87273,0.65579,0.70998,0.45759,1.40015,0.89111,1.37461,0.007228,0.007228,0.007228
58,689.593,0.92517,0.61278,1.11019,0.8511,0.6698,0.71975,0.43397,1.47437,0.9378,1.4314,0.0071785,0.0071785,0.0071785
59,701.373,0.95789,0.61531,1.11319,0.87353,0.64834,0.71496,0.42769,1.45598,0.96392,1.41301,0.007129,0.007129,0.007129
