epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1126.74,1.0789,0.71691,1.43521,0.90234,0.95255,0.9427,0.62824,1.28296,0.69998,2.28578,0.0028715,0.0028715,0.0028715
45,1152.82,1.08941,0.71225,1.42593,0.91403,0.96907,0.95881,0.57642,1.38303,0.73184,2.30388,0.002822,0.002822,0.002822
46,1178.51,1.08329,0.69833,1.41983,0.92764,0.96907,0.95822,0.63884,1.31422,0.69263,2.24455,0.0027725,0.0027725,0.0027725
47,1204.36,1.07095,0.69798,1.42738,0.9339,0.96907,0.96631,0.60882,1.41806,0.67064,2.35844,0.002723,0.002723,0.002723
48,1229.94,1.04662,0.68971,1.4063,0.89238,0.95876,0.94415,0.59117,1.39391,0.73115,2.36073,0.0026735,0.0026735,0.0026735
49,1255.44,1.05015,0.67473,1.4074,0.93252,0.93814,0.94255,0.62249,1.31071,0.74415,2.27735,0.002624,0.002624,0.002624
50,1280.72,1.02548,0.67634,1.42489,0.89417,0.96907,0.94761,0.59914,1.32064,0.73191,2.27139,0.0025745,0.0025745,0.0025745
51,1306.04,1.04257,0.66443,1.41626,0.93449,0.93814,0.94192,0.6158,1.33997,0.65668,2.30649,0.002525,0.002525,0.002525
52,1331.49,1.01533,0.6829,1.41294,0.93796,0.96907,0.95762,0.63202,1.33229,0.72794,2.30137,0.0024755,0.0024755,0.0024755
53,1356.81,1.0172,0.65157,1.39907,0.90219,0.95876,0.9332,0.5957,1.30007,0.73847,2.21718,0.002426,0.002426,0.002426
54,1382.52,1.07887,0.65529,1.38774,0.92446,0.96907,0.94796,0.64214,1.28874,0.69844,2.24717,0.0023765,0.0023765,0.0023765
55,1408.36,1.01831,0.6427,1.38084,0.90073,0.94845,0.92801,0.60741,1.36173,0.69149,2.29864,0.002327,0.002327,0.002327
56,1433.92,1.02894,0.6441,1.37828,0.93917,0.95876,0.94709,0.62723,1.30931,0.68919,2.2193,0.0022775,0.0022775,0.0022775
57,1459.58,1.00972,0.6405,1.3765,0.88394,0.95876,0.94313,0.62514,1.361,0.66533,2.29486,0.002228,0.002228,0.002228
